#,moniker_name,domain,reliability_mean,reliability_label,bias_mean,bias_label
35,Rutland Herald,.rutlandherald.com,46.960784117647066,Reliable; Analysis/Fact Reporting,-2.0000004999999996,Middle
36,Des Moines Register,.desmoinesregister.com,45.750000625,Reliable; Analysis/Fact Reporting,-0.749999375,Middle
37,The Spokesman-Review,.spokesman.com,45.11666625,Reliable; Analysis/Fact Reporting,-6.897436538461538,Skews Left
38,Pasadena Star News,.pasadenastarnews.com,43.333332666666664,Reliable; Analysis/Fact Reporting,-1.611111666666667,Middle
39,The Register-Guard - Eugene,.registerguard.com,45.80392117647059,Reliable; Analysis/Fact Reporting,-1.583333,Middle
40,Keene Sentinel,.sentinelsource.com,46.47058823529412,Reliable; Analysis/Fact Reporting,-0.29411764705882354,Middle
41,The New York Times,.nytimes.com,41.03490889999998,Reliable; Analysis/Fact Reporting,-8.091563780880776,Skews Left
42,Bloomberg News,.bloomberg.com,42.114000159999996,Reliable; Analysis/Fact Reporting,-3.161409395973155,Middle
43,Breitbart,.breitbart.com,31.056505990338184,Mixed Reliability/Opinion OR Other Issues,13.535040989619375,Strong Right
44,ESPN,.espn.com,42.88636303030303,Reliable; Analysis/Fact Reporting,-1.050926111111111,Middle
45,NPR (website),.npr.org,43.104355756929614,Reliable; Analysis/Fact Reporting,-4.193862295345106,Middle
46,Law and Crime,.lawandcrime.com,45.63218413793104,Reliable; Analysis/Fact Reporting,-3.780702631578948,Middle
47,Washington Examiner,.washingtonexaminer.com,34.00394533665835,Generally Reliable/Analysis OR Other Issues,11.276867349397588,Skews Right
48,Atlanta Journal-Constitution,.ajc.com,44.833333243243246,Reliable; Analysis/Fact Reporting,-3.835034081632652,Middle
49,Mother Jones,.motherjones.com,37.01693712121212,Generally Reliable/Analysis OR Other Issues,-15.052946181818182,Strong Left
50,The Root,.theroot.com,26.47443432432432,Mixed Reliability/Opinion OR Other Issues,-18.4730748136646,Hyper-Partisan Left
51,Napa Valley Register,.napavalleyregister.com,46.51851833333333,Reliable; Analysis/Fact Reporting,-0.09259222222222223,Middle
52,Esquire,.esquire.com,27.36666568181818,Mixed Reliability/Opinion OR Other Issues,-18.41835688405797,Hyper-Partisan Left
53,Philadelphia Inquirer,.inquirer.com,37.66666677419355,Generally Reliable/Analysis OR Other Issues,-11.28205153846154,Skews Left
54,Charlotte Observer,.charlotteobserver.com,43.291666250000006,Reliable; Analysis/Fact Reporting,-3.1818186363636367,Middle
55,Futurism,.futurism.com,38.01234481481482,Generally Reliable/Analysis OR Other Issues,-6.4444446666666675,Skews Left
56,Fight Back News,.fightbacknews.org,30.04545272727272,Mixed Reliability/Opinion OR Other Issues,-20.949276086956523,Hyper-Partisan Left
57,Penn Live Patriot-News,.pennlive.com,44.66666722222222,Reliable; Analysis/Fact Reporting,-3.22222125,Middle
58,Cosmos Magazine,.cosmosmagazine.com,45.00000000000001,Reliable; Analysis/Fact Reporting,-3.6666666666666665,Middle
59,Waco Tribune-Herald,.wacotrib.com,46.02941176470589,Reliable; Analysis/Fact Reporting,-2.2166665000000005,Middle
60,Savannah Morning News,.savannahnow.com,43.08333375,Reliable; Analysis/Fact Reporting,-5.0980388235294125,Middle
61,Portland Tribune,.portlandtribune.com,44.882353529411766,Reliable; Analysis/Fact Reporting,-2.583334,Middle
62,The Virginian Pilot,.pilotonline.com,44.29166687499999,Reliable; Analysis/Fact Reporting,-1.354166875,Middle
63,My RGV News,.myrgv.com,45.555556,Reliable; Analysis/Fact Reporting,-0.7333333333333333,Middle
64,HotAir,.hotair.com,24.845410579710144,Mixed Reliability/Opinion OR Other Issues,12.908183353293413,Strong Right
65,Science News,.sciencenews.org,47.4799992,Reliable; Analysis/Fact Reporting,-1.7976196428571427,Middle
66,Attitude - UK,.attitude.co.uk,40.24561368421052,Reliable; Analysis/Fact Reporting,-9.999999787234042,Skews Left
67,Barnstable Patriot,.barnstablepatriot.com,46.27451058823529,Reliable; Analysis/Fact Reporting,-2.2000009999999994,Middle
68,Norwich Bulletin,.norwichbulletin.com,45.71111133333333,Reliable; Analysis/Fact Reporting,-0.24444466666666667,Middle
69,Berkshire Eagle,.berkshireeagle.com,46.444444000000004,Reliable; Analysis/Fact Reporting,-3.4761904761904763,Middle
70,Grist,.grist.org,43.038333,Reliable; Analysis/Fact Reporting,-9.837158196721308,Skews Left
71,Greenfield Recorder,.recorder.com,46.543860526315775,Reliable; Analysis/Fact Reporting,-3.1733332,Middle
72,American Mind,.americanmind.org,24.989898787878786,Mixed Reliability/Opinion OR Other Issues,16.679487307692305,Strong Right
73,FiveThirtyEight,.fivethirtyeight.com,42.84878024390244,Reliable; Analysis/Fact Reporting,-6.111712162162163,Skews Left
74,Reason,.reason.com,36.305625029239785,Generally Reliable/Analysis OR Other Issues,4.652046092896174,Middle
75,The Hill,.thehill.com,41.76979986175115,Reliable; Analysis/Fact Reporting,-1.308381986183074,Middle
76,Scary Mommy,.scarymommy.com,32.47916718750001,Generally Reliable/Analysis OR Other Issues,-14.997023214285715,Strong Left
77,Slate,.slate.com,35.376031174089064,Generally Reliable/Analysis OR Other Issues,-12.68292282453638,Strong Left
78,InfoWars,.infowars.com,15.900595164835165,Unreliable; Misleading,23.458025432098765,Hyper-Partisan Right
79,Newsday,.newsday.com,46.70512794871795,Reliable; Analysis/Fact Reporting,-3.5069447916666667,Middle
80,Montreal Gazette,.montrealgazette.com,45.541666875000004,Reliable; Analysis/Fact Reporting,0.041666875,Middle
81,Toronto Sun,.torontosun.com,35.05555555555555,Generally Reliable/Analysis OR Other Issues,7.676328115942029,Skews Right
82,Winnipeg Sun,.winnipegsun.com,42.64814777777777,Reliable; Analysis/Fact Reporting,2.031746666666667,Middle
83,Police Tribune,.policetribune.com,43.07936571428572,Reliable; Analysis/Fact Reporting,5.692306923076924,Middle
84,American Liberty Report,.americanlibertyemail.com,10.812280526315787,Unreliable; Misleading,29.12777791666667,Hyper-Partisan Right
85,Chronicles Magazine,.chroniclesmagazine.org,23.845238571428574,Unreliable; Problematic,17.904761285714283,Strong Right
86,iNewsource - San Diego,.inewsource.org,46.74509588235295,Reliable; Analysis/Fact Reporting,-1.215685294117647,Middle
87,City Limits,.citylimits.org,40.755554666666654,Reliable; Analysis/Fact Reporting,-7.122223000000001,Skews Left
88,Hollywood Life,.hollywoodlife.com,36.78431352941176,Generally Reliable/Analysis OR Other Issues,-9.640001199999999,Skews Left
89,San Bernardino Sun,.sbsun.com,45.352941764705896,Reliable; Analysis/Fact Reporting,2.383334,Middle
90,Knoxville News Sentinel - Knox News,.knoxnews.com,43.980392941176476,Reliable; Analysis/Fact Reporting,-3.9420286956521737,Middle
91,Wichita Falls Times Record News,.timesrecordnews.com,43.399999333333334,Reliable; Analysis/Fact Reporting,-0.08888933333333333,Middle
92,Haaretz,.haaretz.com,42.555555999999996,Reliable; Analysis/Fact Reporting,-4.230158095238095,Middle
93,The Post & Email,.thepostemail.com,15.221053026315788,Unreliable; Misleading,23.41565234782609,Hyper-Partisan Right
94,Daily Torch,.dailytorch.com,18.060607878787877,Unreliable; Problematic,20.282945116279066,Hyper-Partisan Right
95,Political Correctness News,.politicalcorrectness.news,16.78403633802817,Unreliable; Problematic,21.606349333333327,Hyper-Partisan Right
96,Glenn Greenwald,.greenwald.substack.com,36.4166675,Generally Reliable/Analysis OR Other Issues,10.909089772727272,Skews Right
97,Minnesota Reformer,.minnesotareformer.com,44.541666250000006,Reliable; Analysis/Fact Reporting,-7.806453225806451,Skews Left
98,Unherd,.unherd.com,37.37543789473685,Generally Reliable/Analysis OR Other Issues,-3.1095235714285714,Middle
99,Detroit Metro Times,.metrotimes.com,44.88888866666666,Reliable; Analysis/Fact Reporting,-5.472221666666667,Middle
100,Action News 5 Memphis,.actionnews5.com,45.758333500000006,Reliable; Analysis/Fact Reporting,-0.31666675,Middle
101,NBC 13 Indianapolis WTHR,.wthr.com,47.24074,Reliable; Analysis/Fact Reporting,-1.8412690476190468,Middle
102,NBC 5 DFW KXAS,.nbcdfw.com,46.431372352941175,Reliable; Analysis/Fact Reporting,-2.7333325000000004,Middle
103,NBC 5 Raleigh WRAL,.wral.com,45.1060590909091,Reliable; Analysis/Fact Reporting,-0.9696968181818182,Middle
104,MLive - Michigan News,.mlive.com,46.52564076923076,Reliable; Analysis/Fact Reporting,-0.2692311538461538,Middle
105,The Political Insider,.thepoliticalinsider.com,28.848485000000004,Mixed Reliability/Opinion OR Other Issues,14.769841428571432,Strong Right
106,Portland Press Herald,.pressherald.com,39.269840952380946,Generally Reliable/Analysis OR Other Issues,-2.6929813157894738,Middle
107,Climate News,.climate.news,19.58771868421053,Unreliable; Problematic,12.079234754098362,Strong Right
108,Chicago Reader,.chicagoreader.com,41.288888666666665,Reliable; Analysis/Fact Reporting,-10.720720270270272,Skews Left
109,Arkansas Democrat-Gazette,.arkansasonline.com,45.13793103448276,Reliable; Analysis/Fact Reporting,0.17708250000000003,Middle
110,Middle East Monitor,.middleeastmonitor.com,39.05747068965516,Generally Reliable/Analysis OR Other Issues,-9.095237999999997,Skews Left
111,New Tang Dynasty,.ntd.com,32.930555000000005,Generally Reliable/Analysis OR Other Issues,11.292927727272728,Skews Right
112,Turning Point USA,.tpusa.com,20.599999333333336,Unreliable; Problematic,16.966665499999998,Strong Right
113,The Herald - Scotland,.heraldscotland.com,43.58823529411764,Reliable; Analysis/Fact Reporting,-4.449275217391304,Middle
114,Star Advertiser - Honolulu,.staradvertiser.com,45.01754368421052,Reliable; Analysis/Fact Reporting,-2.484848181818182,Middle
115,24/7 Wall St,.247wallst.com,41.458333124999996,Reliable; Analysis/Fact Reporting,-4.348484090909091,Middle
116,ABC Miami Local 10 WPLG,.local10.com,46.814813333333326,Reliable; Analysis/Fact Reporting,-0.20370333333333335,Middle
117,CBS Seattle KIRO 7,.kiro7.com,46.587300952380964,Reliable; Analysis/Fact Reporting,-0.46031714285714287,Middle
118,Popsugar,.popsugar.com,35.67777866666666,Generally Reliable/Analysis OR Other Issues,-12.184738192771086,Strong Left
119,Daytona Beach News-Journal,.news-journalonline.com,44.60919482758621,Reliable; Analysis/Fact Reporting,-1.739837317073171,Middle
120,NBC 9 News Denver KUSA,.9news.com,45.754385,Reliable; Analysis/Fact Reporting,-0.27193,Middle
121,Center for American Progress,.americanprogress.org,43.06349238095238,Reliable; Analysis/Fact Reporting,-11.604761285714286,Skews Left
122,Palm Beach Post,.palmbeachpost.com,41.401515454545454,Reliable; Analysis/Fact Reporting,-3.6190482142857143,Middle
123,The Pantagraph - Bloomington,.pantagraph.com,47.392157058823535,Reliable; Analysis/Fact Reporting,-1.4333325000000001,Middle
124,The Village Voice,.villagevoice.com,43.01960764705883,Reliable; Analysis/Fact Reporting,-7.9090918181818175,Skews Left
125,AZ Capitol Times,.azcapitoltimes.com,42.519608235294115,Reliable; Analysis/Fact Reporting,2.1679488461538456,Middle
126,City Journal,.city-journal.org,35.00000073170732,Generally Reliable/Analysis OR Other Issues,10.21380484848485,Skews Right
127,The Center Square,.thecentersquare.com,40.29382718518517,Reliable; Analysis/Fact Reporting,3.835226988636364,Middle
128,Phys.org,.phys.org,45.94736842105262,Reliable; Analysis/Fact Reporting,-0.3508763157894737,Middle
129,Tech Xplore,.techxplore.com,44.666666666666664,Reliable; Analysis/Fact Reporting,-1.7777777777777777,Middle
130,Poughkeepsie Journal,.poughkeepsiejournal.com,45.844445333333326,Reliable; Analysis/Fact Reporting,-1.9629622222222223,Middle
131,Cherokee Phoenix,.cherokeephoenix.org,47.52631578947368,Reliable; Analysis/Fact Reporting,-0.2807015789473684,Middle
132,Billings Gazette,.billingsgazette.com,44.98039352941176,Reliable; Analysis/Fact Reporting,-2.25,Middle
133,Daily Sound and Fury,.dailysoundandfury.com,16.46766268656716,Unreliable; Problematic,-13.770370888888891,Strong Left
134,Asian Journal,.asianjournal.com,45.750000625,Reliable; Analysis/Fact Reporting,-4.166666363636364,Middle
135,Press Republican,.pressrepublican.com,43.86666733333334,Reliable; Analysis/Fact Reporting,0.24444400000000002,Middle
136,Post and Courier,.postandcourier.com,44.392156470588226,Reliable; Analysis/Fact Reporting,-0.27451,Middle
137,Above the Law,.abovethelaw.com,37.1839075862069,Generally Reliable/Analysis OR Other Issues,-9.705628571428573,Skews Left
138,Fayetteville Observer,.fayobserver.com,45.91111133333333,Reliable; Analysis/Fact Reporting,-3.698411904761905,Middle
139,Stamford Advocate,.stamfordadvocate.com,46.562500625000006,Reliable; Analysis/Fact Reporting,0.015150909090908958,Middle
140,KRON 4 - San Francisco,.kron4.com,46.50724652173913,Reliable; Analysis/Fact Reporting,-1.5217391304347827,Middle
141,LA Times,.latimes.com,42.868978600583105,Reliable; Analysis/Fact Reporting,-6.359577889733844,Skews Left
142,Heritage Foundation,.heritage.org,28.679011481481485,Mixed Reliability/Opinion OR Other Issues,15.962963333333331,Strong Right
143,Business Insider,.businessinsider.com,40.602285929203546,Reliable; Analysis/Fact Reporting,-4.065540574324325,Middle
144,Conscious Life News,.consciouslifenews.com,16.299516376811596,Unreliable; Problematic,18.517948461538463,Hyper-Partisan Right
145,PoliticusUSA,.politicususa.com,30.818840869565225,Mixed Reliability/Opinion OR Other Issues,-16.238095371428567,Strong Left
146,San Francisco Chronicle,.sfchronicle.com,44.979048,Reliable; Analysis/Fact Reporting,-6.056931111111112,Skews Left
147,InForum | The Forum of Fargo-Moorhead,.inforum.com,45.533333999999996,Reliable; Analysis/Fact Reporting,-0.35555533333333333,Middle
148,Erie Times-News,.goerie.com,46.92156882352942,Reliable; Analysis/Fact Reporting,0.45098058823529413,Middle
149,Tulsa World,.tulsaworld.com,43.49509764705882,Reliable; Analysis/Fact Reporting,-2.416667,Middle
150,Distractify,.distractify.com,27.7777775,Mixed Reliability/Opinion OR Other Issues,-12.017542631578946,Strong Left
151,Current Revolt,.currentrevolt.com,11.250665280000002,Unreliable; Misleading,28.388888333333334,Hyper-Partisan Right
152,The Morning Call,.mcall.com,44.288888666666665,Reliable; Analysis/Fact Reporting,-0.244444,Middle
153,Austin American-Statesman,.statesman.com,43.89166725000001,Reliable; Analysis/Fact Reporting,-3.4455123076923084,Middle
154,Mercola,.mercola.com,14.534137228915663,Unreliable; Misleading,18.06989193548387,Hyper-Partisan Right
155,The Minnesota Star Tribune,.startribune.com,46.12804902439025,Reliable; Analysis/Fact Reporting,-3.0216664000000004,Middle
156,Dealbreaker,.dealbreaker.com,33.666666521739124,Generally Reliable/Analysis OR Other Issues,-3.9252865517241378,Middle
157,Idaho Statesman,.idahostatesman.com,44.40000066666666,Reliable; Analysis/Fact Reporting,-0.5111106666666667,Middle
158,AL.com,.al.com,45.62365677419354,Reliable; Analysis/Fact Reporting,-1.8918921621621623,Middle
159,Stat News,.statnews.com,44.03333333333334,Reliable; Analysis/Fact Reporting,-2.6203702777777784,Middle
160,Alexandria Echo Press,.echopress.com,44.981482222222226,Reliable; Analysis/Fact Reporting,0.1111111111111111,Middle
161,Newsmax (website),.newsmax.com,29.060909696261657,Mixed Reliability/Opinion OR Other Issues,13.46120583662714,Strong Right
162,OAN Network (website),.oann.com,28.46403790094341,Mixed Reliability/Opinion OR Other Issues,14.017680513392863,Strong Right
163,Voice of OC,.voiceofoc.org,47.42105263157894,Reliable; Analysis/Fact Reporting,-1.561403157894737,Middle
164,The Motley Fool,.fool.com,42.36842157894737,Reliable; Analysis/Fact Reporting,-0.43859631578947367,Middle
165,Marie Claire,.marieclaire.com,40.79166625,Reliable; Analysis/Fact Reporting,-11.060001,Skews Left
166,Macomb Daily,.macombdaily.com,47.688888000000006,Reliable; Analysis/Fact Reporting,0,Middle
167,Oxygen,.oxygen.com,43.599999333333336,Reliable; Analysis/Fact Reporting,-0.4,Middle
168,100% Fed Up,.100percentfedup.com,15.40403893939394,Unreliable; Misleading,20.217947692307693,Hyper-Partisan Right
169,The Free Thought Project,.thefreethoughtproject.com,27.16129096774194,Mixed Reliability/Opinion OR Other Issues,-1.314175172413793,Middle
170,News Medical,.news-medical.net,47.0196088235294,Reliable; Analysis/Fact Reporting,-0.35294117647058826,Middle
171,The Cut,.thecut.com,32.691666923076916,Generally Reliable/Analysis OR Other Issues,-15.258490566037734,Strong Left
172,Baltimore Sun,.baltimoresun.com,44.4125,Reliable; Analysis/Fact Reporting,-4.134614807692307,Middle
173,Daily Wire,.dailywire.com,30.995725681293305,Mixed Reliability/Opinion OR Other Issues,13.148796269196023,Strong Right
174,Natural News,.naturalnews.com,9.272285825688071,Unreliable; Misleading,28.09945071134021,Hyper-Partisan Right
175,Washington Post,.washingtonpost.com,38.76509536332178,Generally Reliable/Analysis OR Other Issues,-6.912315345005143,Skews Left
176,Waking Times,.wakingtimes.com,14.377907325581397,Unreliable; Misleading,26.876302343749998,Hyper-Partisan Right
177,The Libertarian Republic,.thelibertarianrepublic.com,33.06481388888889,Generally Reliable/Analysis OR Other Issues,11.250000192307692,Skews Right
178,Activist Post,.activistpost.com,17.808989213483148,Unreliable; Problematic,16.320871869158875,Strong Right
179,CBS News (website),.cbsnews.com,41.86104239554316,Reliable; Analysis/Fact Reporting,-3.0439196153846155,Middle
180,Chicks On The Right,.chicksonright.com,24.666665517241384,Mixed Reliability/Opinion OR Other Issues,18.576923461538463,Hyper-Partisan Right
181,Cleveland Scene,.clevescene.com,43.768517777777774,Reliable; Analysis/Fact Reporting,-8.809524642857143,Skews Left
182,Centre for Research on Globalization,.globalresearch.ca,9.42076475409836,Unreliable; Misleading,26.39566308943089,Hyper-Partisan Right
183,Caller Times - Corpus Christi,.caller.com,45.82222200000001,Reliable; Analysis/Fact Reporting,-1.0666660000000001,Middle
184,Green Bay Press Gazette,.greenbaypressgazette.com,44.16666611111111,Reliable; Analysis/Fact Reporting,-4.0000014814814815,Middle
185,Kenosha News,.kenoshanews.com,46.314813888888885,Reliable; Analysis/Fact Reporting,-0.037037222222222214,Middle
186,The Florida Times-Union,.jacksonville.com,44.133333333333326,Reliable; Analysis/Fact Reporting,-1.6805554166666667,Middle
187,Killeen Daily Herald,.kdhnews.com,45.999999999999986,Reliable; Analysis/Fact Reporting,-2.816666,Middle
188,AZ Central,.azcentral.com,41.8818755,Reliable; Analysis/Fact Reporting,-7.108237093023255,Skews Left
189,Big League Politics,.bigleaguepolitics.com,18.08073408045977,Unreliable; Problematic,24.985657952941175,Hyper-Partisan Right
190,Bill O'Reilly,.billoreilly.com,21.719379534883725,Unreliable; Problematic,25.550310869565216,Hyper-Partisan Right
191,Before It's News,.beforeitsnews.com,6.2257368364611265,Unreliable; Inaccurate,29.40814565916399,Hyper-Partisan Right
192,The Right Scoop,.therightscoop.com,21.58461507692308,Unreliable; Problematic,22.18692229665072,Hyper-Partisan Right
193,The American Conservative,.theamericanconservative.com,31.628654736842115,Mixed Reliability/Opinion OR Other Issues,14.435643366336631,Strong Right
194,Sojourners,.sojo.net,39.17736347826087,Generally Reliable/Analysis OR Other Issues,-12.708994197530863,Strong Left
195,NOLA.com,.nola.com,47.43840478260871,Reliable; Analysis/Fact Reporting,-1.8974353846153844,Middle
196,Patch,.patch.com,46.093137941176465,Reliable; Analysis/Fact Reporting,-3.536231304347826,Middle
197,Popular Information,.popular.info,36.64351766666667,Generally Reliable/Analysis OR Other Issues,-13.62005652542373,Strong Left
198,Las Vegas Review-Journal,.reviewjournal.com,42.40378766666667,Reliable; Analysis/Fact Reporting,3.0590270833333335,Middle
199,Roll Call,.rollcall.com,46.26944433333333,Reliable; Analysis/Fact Reporting,-3.3069438333333334,Middle
200,South China Morning Post,.scmp.com,41.60672491228069,Reliable; Analysis/Fact Reporting,-3.2542742307692314,Middle
201,St. Louis Post-Dispatch,.stltoday.com,44.566666399999995,Reliable; Analysis/Fact Reporting,-8.035460425531916,Skews Left
202,Syracuse Post-Standard,.syracuse.com,46.443588846153844,Reliable; Analysis/Fact Reporting,-2.7843740625000004,Middle
203,Teen Vogue,.teenvogue.com,37.78742113207548,Generally Reliable/Analysis OR Other Issues,-15.499999450549453,Strong Left
204,Tennessean,.tennessean.com,47.13333285714286,Reliable; Analysis/Fact Reporting,-1.7861116666666668,Middle
205,Chicago Sun-Times,.suntimes.com,45.4353738095238,Reliable; Analysis/Fact Reporting,-4.346031833333333,Middle
206,Chicago Tribune,.chicagotribune.com,44.66939885245902,Reliable; Analysis/Fact Reporting,-4.2418298039215685,Middle
207,Christian Science Monitor,.csmonitor.com,44.227082499999995,Reliable; Analysis/Fact Reporting,-2.5160400000000003,Middle
208,CNBC (website),.cnbc.com,43.774958557213964,Reliable; Analysis/Fact Reporting,-1.8068263398692812,Middle
209,Government Executive,.govexec.com,45.799999333333325,Reliable; Analysis/Fact Reporting,-1.7777786666666666,Middle
210,Just Security,.justsecurity.org,44.42222133333334,Reliable; Analysis/Fact Reporting,-5.864197777777777,Middle
211,The New Atlantis,.thenewatlantis.com,36.266666666666666,Generally Reliable/Analysis OR Other Issues,-2.3703711111111105,Middle
212,Commentary Magazine,.commentary.org,31.977777333333332,Mixed Reliability/Opinion OR Other Issues,12.575164117647057,Strong Right
213,Upward News,.upward.news,28.425438815789477,Mixed Reliability/Opinion OR Other Issues,10.353414216867472,Skews Right
214,Reveal,.revealnews.org,39.80952333333333,Generally Reliable/Analysis OR Other Issues,-8.936507142857144,Skews Left
215,MIT Technology Review,.technologyreview.com,45.458333124999996,Reliable; Analysis/Fact Reporting,-2.982455263157895,Middle
216,Monthly Review,.monthlyreview.org,28.666667,Mixed Reliability/Opinion OR Other Issues,-21.358396165413534,Hyper-Partisan Left
217,NRA - America's 1st Freedom,.americas1stfreedom.org,23.64999933333333,Unreliable; Problematic,16.09661913043478,Strong Right
218,Helena Independent-Record,.helenair.com,45.46666666666667,Reliable; Analysis/Fact Reporting,-0.13333333333333333,Middle
219,Madison.com | Wisconsin State Journal,.madison.com,45.333333333333336,Reliable; Analysis/Fact Reporting,1.1111120833333332,Middle
220,Denton Record-Chronicle,.dentonrc.com,46.42222266666666,Reliable; Analysis/Fact Reporting,-0.3,Middle
221,American Greatness,.amgreatness.com,19.04418201257862,Unreliable; Problematic,22.378560454545465,Hyper-Partisan Right
222,BBC,.bbc.com,44.7306054885655,Reliable; Analysis/Fact Reporting,-1.3357832313575517,Middle
223,BuzzFeed News,.buzzfeednews.com,39.962449390243854,Generally Reliable/Analysis OR Other Issues,-6.052004329896908,Skews Left
224,The Federalist,.thefederalist.com,22.162578051948046,Unreliable; Problematic,18.385506255212665,Hyper-Partisan Right
225,FAIR,.fair.org,32.59649052631579,Generally Reliable/Analysis OR Other Issues,-19.362041244019142,Hyper-Partisan Left
226,Chron.com,.chron.com,46.626436206896564,Reliable; Analysis/Fact Reporting,-0.6034479310344828,Middle
227,TMZ,.tmz.com,34.588731295546566,Generally Reliable/Analysis OR Other Issues,-4.416551660899653,Middle
228,ZeroHedge,.zerohedge.com,20.695237857142857,Unreliable; Problematic,16.56716378109453,Strong Right
229,The Bulwark,.thebulwark.com,34.25328934210527,Generally Reliable/Analysis OR Other Issues,-3.3565062566844928,Middle
230,American Thinker,.americanthinker.com,13.84925164588529,Unreliable; Misleading,24.60748548387097,Hyper-Partisan Right
231,RealClearPolitics,.realclearpolitics.com,26.901960000000003,Mixed Reliability/Opinion OR Other Issues,14.449613023255818,Strong Right
232,Denver Post,.denverpost.com,45.428181800000004,Reliable; Analysis/Fact Reporting,-2.85659323076923,Middle
233,Judicial Watch,.judicialwatch.org,23.83104384615384,Unreliable; Problematic,23.080085974025973,Hyper-Partisan Right
234,Real News Network,.therealnews.com,36.95061851851852,Generally Reliable/Analysis OR Other Issues,-17.34933312,Strong Left
235,Blaze TV: LevinTV,.tv.levintv.adfontesmedia.com,16.666667999999998,Unreliable; Problematic,24.91667,Hyper-Partisan Right
236,RT: CrossTalk,.tv.crosstalk.adfontesmedia.com,16.177777666666667,Unreliable; Problematic,4.305554166666667,Middle
